1805.00460v1 , VisDial , Visual dialog , arxiv_paper_20000
1904.01989v1 , creutz2002 , Unsupervised discovery of morphemes , arxiv_paper_20002
1912.07160v1 , szegedy2013intriguing , Intriguing properties of neural networks , arxiv_paper_20003
1711.05535v3 , eisenschtat2016linking , Linking image and text with 2-way nets , arxiv_paper_20008
1802.01666v3 , romero2014fitnets , Fitnets: Hints for thin deep nets , arxiv_paper_20009
1909.01174v1 , classif_dnn_separation , Deep neural networks for single channel source separation , arxiv_paper_20019
1909.01174v1 , wavenet_denoising , A wavenet for speech denoising , arxiv_paper_20022
1909.01174v1 , sisec , The 2018 signal separation evaluation campaign , arxiv_paper_20026
1905.11381v1 , goodfellow_explaining_2014 , Explaining and harnessing adversarial examples , arxiv_paper_20030
1905.11381v1 , carlini_defensive_2016 , Defensive distillation is not robust to adversarial examples , arxiv_paper_20032
1909.04217v1 , nirkin2018face , On face segmentation, face swapping, and face perception , arxiv_paper_20039
1408.2196v1 , Lewis1994 , A sequential algorithm for training text classifiers , arxiv_paper_20045
1901.08360v1 , Soudry-March-2018 , The Implicit Bias of Gradient Descent on Separable Data , arxiv_paper_20051
1506.05751v1 , GregorDGW15 , DRAW: A recurrent neural network for image generation , arxiv_paper_20067
1506.05751v1 , Sohl-Dickstein15 , Deep unsupervised learning using nonequilibrium thermodynamics , arxiv_paper_20068
1506.05751v1 , Theis2015c , Generative image modeling using spatial LSTMs , arxiv_paper_20069
1704.03432v1 , fragkiadaki:iccv2015 , Recurrent network models for human dynamics , arxiv_paper_20075
2002.00176v1 , dai2017detecting , Detecting visual relationships with deep relational networks , arxiv_paper_20079
2002.00176v1 , xu2017scenegraph , Scene graph generation by iterative message passing , arxiv_paper_20080
2002.00176v1 , Newell2017Pixels , Pixels to graphs by associative embedding , arxiv_paper_20081
2002.00176v1 , Qi2019 , Attentive relational networks for mapping images to scene graphs , arxiv_paper_20082
2002.00176v1 , Yang2018 , Graph R-CNN for scene graph generation , arxiv_paper_20084
1909.09427v2 , Song16 , Deep metric learning via lifted structured feature embedding , arxiv_paper_20102
1811.08824v3 , gupta2017cognitive , Cognitive mapping and planning for visual navigation , arxiv_paper_20104
1811.08824v3 , Hermann:17 , Grounded Language Learning in a Simulated 3D World , arxiv_paper_20105
1912.00384v1 , tang2018pami , Pcl: Proposal cluster learning for weakly supervised object detection , arxiv_paper_20115
1804.05929v1 , honda2012stochastic , Stochastic bandit based on empirical moments , arxiv_paper_20118
1809.11155v2 , attention , Neural machine translation by jointly learning to align and translate , arxiv_paper_20127
1809.11155v2 , self-attention , A decomposable attention model for natural language inference , arxiv_paper_20128
1904.09378v3 , hofer2017deep , Deep learning with topological signatures , arxiv_paper_20131
1904.09378v3 , chazal2014persistence , Persistence stability for geometric complexes , arxiv_paper_20134
1511.02917v2 , Mnih_NIPS14 , Recurrent models of visual attention , arxiv_paper_20144
1511.02917v2 , Bahdnau_arxiv14 , Neural machine translation by jointly learning to align and translate , arxiv_paper_20145
1511.02917v2 , Yao_arxiv15 , Describing videos by exploiting temporal structure , arxiv_paper_20147
1607.07043v1 , veeriah2015differential , Differential recurrent neural networks for action recognition , arxiv_paper_20158
1311.5591v2 , deep_attribute_networks , Deep attribute networks , arxiv_paper_20167
1810.09102v1 , miyato2018spectral , Spectral normalization for generative adversarial networks , arxiv_paper_20177
1812.11712v1 , K11 , On the inverse power index problem , arxiv_paper_20179
1812.11712v1 , DDS12 , The inverse shapley value problem , arxiv_paper_20182
1812.11712v1 , A08 , Complexity of comparison of influence of players in simple games , arxiv_paper_20186
1812.11712v1 , GNR15 , Public projects, boolean functions and the borders of border's theorem , arxiv_paper_20190
1706.00465v1 , adi2016automatic , Automatic measurement of vowel duration via structured prediction , arxiv_paper_20192
1910.02100v3 , delay_non_stochastic , Delay and cooperation in nonstochastic bandits , arxiv_paper_20200
1910.02100v3 , social_learning_replicator , A distributed learning dynamics in social groups , arxiv_paper_20207
1709.06673v2 , Nickel:2016 , A review of relational machine learning for knowledge graphs , arxiv_paper_20211
1708.09496v1 , Huetal13 , Unsupervised induction of contingent event pairs from film scenes , arxiv_paper_20214
1905.11624v3 , lu2016visual , Visual relationship detection with language priors , arxiv_paper_20227
1710.00755v1 , vondrick2016generating , Generating videos with scene dynamics , arxiv_paper_20232
1710.00755v1 , GANFaceAge , Face aging with conditional generative adversarial networks , arxiv_paper_20234
1710.00755v1 , GANColor , Unsupervised diverse colorization via generative adversarial networks , arxiv_paper_20236
1710.00755v1 , GAN_editing , Generative visual manipulation on the natural image manifold , arxiv_paper_20238
1710.00755v1 , GANContextEncoder , Context encoders: Feature learning by inpainting , arxiv_paper_20239
1710.00755v1 , mirza2014conditional , Conditional generative adversarial nets , arxiv_paper_20240
1710.00755v1 , IGANinvertible , Invertible conditional GANs for image editing , arxiv_paper_20243
1710.00755v1 , stackedGanCornel , Stacked generative adversarial networks , arxiv_paper_20247
1710.00755v1 , styleGAN , Generative image modeling using style and structure adversarial networks , arxiv_paper_20248
1710.00755v1 , unrolledGAN , Unrolled generative adversarial networks , arxiv_paper_20251
1710.00755v1 , leastSQgan , Least squares generative adversarial networks , arxiv_paper_20252
1710.00755v1 , salimans2016improved , Improved techniques for training GANs , arxiv_paper_20253
1710.00755v1 , GANModeReg , Mode regularized generative adversarial networks , arxiv_paper_20255
1710.00755v1 , scribblerGAN , Scribbler: Controlling deep image synthesis with sketch and color , arxiv_paper_20257
1812.00469v2 , zhang2016faster , Is faster r-cnn doing well for pedestrian detection? , arxiv_paper_20264
1812.00469v2 , Yang2018MetaAnchorLT , Metaanchor: Learning to detect objects with customized anchors , arxiv_paper_20265
1807.08725v3 , cai2010singular , A singular value thresholding algorithm for matrix completion , arxiv_paper_20268
1912.07161v2 , Facenet , Facenet: A unified embedding for face recognition and clustering , arxiv_paper_20281
1901.09394v1 , Li18e , Point cloud gan , arxiv_paper_20290
1809.05596v1 , reuse2 , Generalization in adaptive data analysis and holdout reuse , arxiv_paper_20295
1809.05596v1 , stability , Algorithmic stability for adaptive data analysis , arxiv_paper_20296
1809.05596v1 , HU , Preventing false discovery in interactive data analysis is hard , arxiv_paper_20297
1709.01509v1 , RW11 , Information, divergence and risk for binary experiments , arxiv_paper_20299
1906.07370v1 , chang2017matterport3d , Matterport3d: Learning from rgb-d data in indoor environments , arxiv_paper_20301
1906.07370v1 , gardner2017learning , Learning to predict indoor illumination from a single image , arxiv_paper_20302
1809.07600v1 , DBLP:journals/corr/abs-1708-03535 , Neural translation of musical style , arxiv_paper_20315
1809.07600v1 , DBLP:journals/corr/ChuUF16 , Song from PI: A musically plausible network for pop music generation , arxiv_paper_20319
1809.07600v1 , DBLP:conf/icml/HadjeresPN17 , Deepbach: a steerable model for bach chorales generation , arxiv_paper_20321
1809.07600v1 , DBLP:conf/aaai/YuZWY17 , Seqgan: Sequence generative adversarial nets with policy gradient , arxiv_paper_20325
1711.10703v1 , MemNet_ICCV17 , Memnet: A persistent memory network for image restoration , arxiv_paper_20335
1811.00139v1 , BBBY12 , Active property testing , arxiv_paper_20341
1910.11617v3 , zhang2019deep , Deep learning in mobile and wireless networking: A survey , arxiv_paper_20356
1909.10120v1 , MDLSTM_dropout , Dropout improves recurrent neural networks for handwriting recognition , arxiv_paper_20357
1810.11975v2 , DBLP:journals/corr/NiculaeB17 , A regularized framework for sparse and structured neural attention , arxiv_paper_20364
1608.08782v1 , hunsberger2015spiking , Spiking deep networks with lif neurons , arxiv_paper_20368
1907.02499v2 , varol17_surreal , Learning from synthetic humans , arxiv_paper_20378
1910.02555v1 , chu2018survey , A survey of domain adaptation for neural machine translation , arxiv_paper_20381
1711.00267v2 , denil2016learning , Learning to perform physics experiments via deep reinforcement learning , arxiv_paper_20384
1806.00007v1 , TishbyZ15 , Deep learning and the information bottleneck principle , arxiv_paper_20397
1902.10024v1 , kay2017kinetics , The kinetics human action video dataset , arxiv_paper_20409
1907.10045v1 , martinez2017simple , A simple yet effective baseline for 3d human pose estimation , arxiv_paper_20411
1907.10045v1 , sun2018integral , Integral human pose regression , arxiv_paper_20412
1907.10045v1 , jiang2017seeing , Seeing invisible poses: Estimating 3d body pose from egocentric video , arxiv_paper_20413
1901.06882v1 , ke2017new , A new representation of skeleton sequences for 3d action recognition , arxiv_paper_20423
1911.00679v2 , TaiYLX17MemNet , Memnet: A persistent memory network for image restoration , arxiv_paper_20429
1911.00679v2 , SakaridisDG18 , Semantic foggy scene understanding with synthetic data , arxiv_paper_20432
1911.00679v2 , ChenK17Photographic , Photographic image synthesis with cascaded refinement networks , arxiv_paper_20438
1804.01611v1 , Dobrovsky15Flown , FlowNet: Learning Optical Flow with Convolutional Networks , arxiv_paper_20441
1811.07999v3 , li_sig17 , GRASS: Generative recursive autoencoders for shape structures , arxiv_paper_20445
1811.07999v3 , Larsen15 , Autoencoding beyond pixels using a learned similarity metric , arxiv_paper_20447
1703.07464v3 , Schroff_2015_CVPR , Facenet: A unified embedding for face recognition and clustering , arxiv_paper_20449
1703.07464v3 , oh2016deep , Deep metric learning via lifted structured feature embedding , arxiv_paper_20450
1907.02811v2 , mikolov2013efficient , Efficient estimation of word representations in vector space , arxiv_paper_20453
1907.02811v2 , chen2018harp , Harp: Hierarchical representation learning for networks , arxiv_paper_20454
1907.02811v2 , Liu_2018 , Graph summarization methods and applications: A survey , arxiv_paper_20455
1911.04069v1 , relate_4 , Generative choreography using deep learning , arxiv_paper_20459
1805.07505v1 , tatti2015ranking , Ranking episodes using a partition model , arxiv_paper_20463
1805.07505v1 , petitjean2016skopus , Skopus: Mining top-k sequential patterns under leverage , arxiv_paper_20464
1712.03010v2 , CQR2015 , Stochastic dual coordinate ascent with adaptive probabilities , arxiv_paper_20467
1712.03010v2 , SRJ2017 , Approximate steepest coordinate descent , arxiv_paper_20468
1712.03010v2 , SCT2017 , Stochastic optimization with bandit sampling , arxiv_paper_20471
1811.10980v2 , noise2noise , Noise2Noise: Learning image restoration without clean data , arxiv_paper_20472
1811.10980v2 , he2016deep , Deep residual learning for image recognition , arxiv_paper_20476
1811.10980v2 , tai2017memnet , Memnet: A persistent memory network for image restoration , arxiv_paper_20478
1811.10980v2 , ronneberger2015u , U-net: Convolutional networks for biomedical image segmentation , arxiv_paper_20480
1811.10980v2 , UlyanovVL18 , Deep image prior , arxiv_paper_20484
1811.10980v2 , pixRNN , Pixel recurrent neural networks , arxiv_paper_20486
1805.10872v2 , riedel2017programming , Programming with a differentiable forth interpreter , arxiv_paper_20489
1906.00820v1 , vinyals , Matching networks for one shot learning , arxiv_paper_20499
1902.08399v1 , gilmer2017neural , Neural message passing for quantum chemistry , arxiv_paper_20502
1902.08399v1 , verma2018graph , Graph capsule convolutional neural networks , arxiv_paper_20503
1906.08691v1 , gehring2017convolutional , Convolutional sequence to sequence learning , arxiv_paper_20518
1906.08691v1 , bahdanau2014neural , Neural machine translation by jointly learning to align and translate , arxiv_paper_20519
1904.00639v1 , elliott2017imagination , Imagination improves multimodal translation , arxiv_paper_20521
1904.00639v1 , gronroos2018memad , The MeMAD submission to the WMT18 multimodal translation task , arxiv_paper_20522
1810.12956v2 , ye:acl17 , Jointly extracting relations with class ties via effective deep ranking , arxiv_paper_20541
1609.00408v2 , wilber2016can , Can we still avoid automatic face detection? , arxiv_paper_20560
1609.00408v2 , zhang2015beyond , Beyond frontal faces: Improving person recognition using multiple cues , arxiv_paper_20574
1712.07113v2 , szegedy , Intriguing properties of neural networks , arxiv_paper_20581
1811.10787v2 , vinyals2015show , Show and tell: A neural image caption generator , arxiv_paper_20595
1702.07560v1 , nachmani , Learning to decode linear codes using deep learning , arxiv_paper_20598
1811.09908v1 , he2016deep , Deep residual learning for image recognition , arxiv_paper_20609
1905.01631v2 , gan-tutorial , Nips 2016 tutorial: Generative adversarial networks , arxiv_paper_20611
1905.12162v1 , Guler2018DensePose , Dense pose transfer , arxiv_paper_20628
1905.12162v1 , balakrishnan_cvpr18 , Synthesizing images of humans in unseen poses , arxiv_paper_20629
1908.04598v2 , taira2018inloc , InLoc: Indoor visual localization with dense matching and view synthesis , arxiv_paper_20633
1904.00993v2 , harmonic , Harmonic networks: Deep translation and rotation equivariance , arxiv_paper_20646
1904.00993v2 , cohen19_gauge_equiv_convol_networ_icosah_cnn , Gauge equivariant convolutional networks and the icosahedral cnn , arxiv_paper_20648
1512.08602v1 , blum2015sparse , Sparse approximation via generating point sets , arxiv_paper_20660
1512.08602v1 , farias2012sparse , Sparse choice models , arxiv_paper_20663
1604.04359v2 , conitzer2011dominating , Dominating manipulations in voting with partial information , arxiv_paper_20668
1801.07674v1 , Hu1 , LabelBank: Revisiting global perspectives for semantic segmentation , arxiv_paper_20669
1902.06729v2 , tulsiani2018factoring , Factoring shape, pose, and layout from the 2d image of a 3d scene , arxiv_paper_20671
1902.06729v2 , song2016ssc , Semantic scene completion from a single depth image , arxiv_paper_20672
1902.06729v2 , wu20153d , 3D ShapeNets: A deep representation for volumetric shapes , arxiv_paper_20673
1902.06729v2 , richter2018matryoshka , Matryoshka networks: Predicting 3d geometry via nested shape layers , arxiv_paper_20679
1412.7755v2 , Mnih2014 , Recurrent models of visual attention , arxiv_paper_20692
1807.04740v4 , kingma2014adam , Adam: A method for stochastic optimization , arxiv_paper_20694
